y	Lamb County For all TSP Use
2140	Lampasas County	Lampasas County For all TSP Use
2141	La Salle County	La Salle County For all TSP Use
2142	Lavaca County	Lavaca County For all TSP Use
2143	Lee County	Lee County For all TSP Use
2144	Leon County	Leon County For all TSP Use
2145	Liberty County	Liberty County For all TSP Use
2146	Limestone County	Limestone County For all TSP Use
2147	Lipscomb County	Lipscomb County For all TSP Use
2148	Live Oak County	Live Oak County For all TSP Use
2149	Llano County	Llano County For all TSP Use
2150	Loving County	Loving County For all TSP Use
2151	Lubbock County	Lubbock County For all TSP Use
2152	Lynn County	Lynn County For all TSP Use
2153	McCulloch County	McCulloch County For all TSP Use
2154	McLennan County	McLennan County For all TSP Use
2155	McMullen County	McMullen County For all TSP Use
2156	Madison County	Madison County For all TSP Use
2157	Marion County	Marion County For all TSP Use
2158	Martin County	Martin County For all TSP Use
2159	Mason County	Mason County For all TSP Use
2160	Matagorda County	Matagorda County For all TSP Use
2161	Maverick County	Maverick County For all TSP Use
2162	Medina County	Medina County For all TSP Use
2163	Menard County	Menard County For all TSP Use
2164	Midland County	Midland County For all TSP Use
2165	Milam County	Milam County For all TSP Use
2166	Mills County	Mills County For all TSP Use
2167	Mitchell County	Mitchell County For all TSP Use
2168	Montague County	Montague County For all TSP Use
2169	Montgomery County	Montgomery County For all TSP Use
2170	Moore County	Moore County For all TSP Use
2171	Morris County	Morris County For all TSP Use
2172	Motley County	Motley County For all TSP Use
2173	Nacogdoches County	Nacogdoches County For all TSP Use
2174	Navarro County	Navarro County For all TSP Use
2175	Newton County	Newton County For all TSP Use
2176	Nolan County	Nolan County For all TSP Use
2177	Nueces County	Nueces County For all TSP Use
2178	Ochiltree County	Ochiltree County For all TSP Use
2179	Oldham County	Oldham County For all TSP Use
2180	Orange County	Orange County For all TSP Use
2181	Palo Pinto County	Palo Pinto County For all TSP Use
2182	Panola County	Panola County For all TSP Use
2183	Parker County	Parker County For all TSP Use
2184	Parmer County	Parmer County For all TSP Use
2185	Pecos County	Pecos County For all TSP Use
2186	Polk County	Polk County For all TSP Use
2187	Potter County	Potter County For all TSP Use
2188	Presidio County	Presidio County For all TSP Use
2189	Rains County	Rains County For all TSP Use
2190	Randall County	Randall County For all TSP Use
2191	Reagan County	Reagan County For all TSP Use
2192	Real County	Real County For all TSP Use
2193	Red River County	Red River County For all TSP Use
2194	Reeves County	Reeves County For all TSP Use
2195	Refugio County	Refugio County For all TSP Use
2196	Roberts County	Roberts County For all TSP Use
2197	Robertson County	Robertson County For all TSP Use
2198	Rockwall County	Rockwall County For all TSP Use
2199	Runnels County	Runnels County For all TSP Use
2200	Rusk County	Rusk County For all TSP Use
