aufman	ONCOR - Kaufman and Rockwall Counties
114	O_Dallas	ONCOR - Dallas County
115	O_Ellis	ONCOR - Ellis County
118	O_Tarrant	ONCOR - Tarrant County
119	O_Johnson	ONCOR - Johnson County
120	O_Hood	ONCOR - Hood and Somervell Counties
121	O_Parker	ONCOR - Palo Pinto and Parker Counties
122	O_Young	ONCOR - Stephens and Young Counties
125	O_Eastland	ONCOR - Eastland County
126	O_Erath	ONCOR - Erath County
127	O_Bosque	ONCOR - Bosque County
128	O_Hill	ONCOR - Hill County
129	O_Navarro	ONCOR - Navarro County
130	O_Freestone	ONCOR - Freestone County
131	O_Leon	ONCOR - Leon County
132	O_Limestone	ONCOR - Limestone County
133	O_Robertson	ONCOR - Robertson County
134	O_Falls	ONCOR - Falls County
135	O_McLennan	ONCOR - McLennan County
136	O_Bell	ONCOR - Bell County
137	O_Milam	ONCOR - Milam County
138	O_Williamson	ONCOR - Bastrop, Lee, Travis, and Williamson Counties
139	O_Coryell	ONCOR - Coryell County
140	O_Hamilton	ONCOR - Hamilton and Mills Counties
141	O_Comanche	ONCOR - Comanche County
142
