YLOR	Taylor Electric Cooperative
187	LAMAR	Lamar Electric Cooperative
190	GOLDSMITH	City of Goldsmith
199	COCS	City of College Station
200	EHVDC	East High Voltage DC
220	TNP_CLIF	TNMP – Clifton 
221	TNP_WLSP	TNMP – Walnut Springs
222	TNP_VROG	TNMP – Various Central TX buses
224	TNP_LEW	TNMP - Lewisville
225	TNP_KTRC	TNMP – Various North TX buses
226	TNP_BELS	TNMP – Grayson & Fannin Counties
227	TNP_CLMX	TNMP – Fannin & Collin Counties
229	TNP_PMWK	TNMP – Wink, Pecos
230	TNP_TC	TNMP – Galveston County
233	TNP_COGN	TNMP
234	TNP_WC	TNMP – Brazoria County
235	TNP_HC-F	TNMP - Farmersville
238	TNP_GEN	TNMP
240	TNP_FS	TNMP – Pecos County
260	CNP_DNTN	CenterPoint Energy - Dist Buses in Downtown
261	CNP_INNR	CenterPoint Energy - Dist Buses in Inner Loop
270	CNP_LLIP	CenterPoint Energy – Large Load Interconnection Process
290	CNP_DG	CenterPoint Energy – Distributed Generation
295	CNP_CAPEMUTL	CenterPoint Energy – CAPE Mutual Coupling Buses
300	CNPEXNSS	CenterPoint Energy - Exxon Facility self se
