y	Newton County For all TSP Use
2176	Nolan County	Nolan County For all TSP Use
2177	Nueces County	Nueces County For all TSP Use
2178	Ochiltree County	Ochiltree County For all TSP Use
2179	Oldham County	Oldham County For all TSP Use
2180	Orange County	Orange County For all TSP Use
2181	Palo Pinto County	Palo Pinto County For all TSP Use
2182	Panola County	Panola County For all TSP Use
2183	Parker County	Parker County For all TSP Use
2184	Parmer County	Parmer County For all TSP Use
2185	Pecos County	Pecos County For all TSP Use
2186	Polk County	Polk County For all TSP Use
2187	Potter County	Potter County For all TSP Use
2188	Presidio County	Presidio County For all TSP Use
2189	Rains County	Rains County For all TSP Use
2190	Randall County	Randall County For all TSP Use
2191	Reagan County	Reagan County For all TSP Use
2192	Real County	Real County For all TSP Use
2193	Red River County	Red River County For all TSP Use
2194	Reeves County	Reeves County For all TSP Use
2195	Refugio County	Refug
