bus,voltage,load_MW,p_inj_mw,neighbor_count,voltage_class,scenario
0,0.9550000000000001,67.94152754290624,-67.94152754290624,2.0,1,0
1,0.9706927669284773,24.633270638512315,-24.633270638512315,2.0,1,0
2,0.9664831516169665,52.94559566296317,-52.94559566296317,3.0,1,0
3,0.9980000000000001,51.059205939994555,-51.059205939994555,2.0,2,0
4,1.002150627571405,0.0,0.0,4.0,3,0
5,0.99,58.66916662704734,-58.66916662704734,2.0,2,0
6,0.9891061589713744,26.46104740432951,-26.46104740432951,2.0,2,0
7,1.015,37.19357349671897,-37.19357349671897,2.0,3,0
8,1.042918205113094,0.0,0.0,2.0,4,0
9,1.0500000000000005,0.0,450.0,1.0,4,0
10,0.9838440790255444,93.50735041081602,-93.50735041081602,4.0,2,0
11,0.99,53.50640222072521,31.493597779274793,7.0,2,0
12,0.9658386776637738,41.993936566534785,-41.993936566534785,2.0,1,0
13,0.9830837517012805,16.95735170177684,-16.95735170177684,2.0,2,0
14,0.9700000000000002,124.02265469891225,-124.02265469891225,5.0,1,0
15,0.9820653990473649,32.328988400604985,-32.328988400604985,2.0,2,0
16,0.994589802376241,14.815113323793739,-14.815113323793739,5.0,2,0
17,0.9729999999999998,73.98145557889195,-73.98145557889195,2.0,1,0
18,0.962,52.567722744094496,-52.567722744094496,4.0,1,0
19,0.9516214353440048,22.794757849885507,-22.794757849885507,2.0,1,0
20,0.9501227256978291,15.668032475637537,-15.668032475637537,2.0,1,0
21,0.9606284069723842,13.482893515977745,-13.482893515977745,2.0,1,0
22,0.9958499910338268,9.026495238156336,-9.026495238156336,4.0,2,0
23,0.9920000000000001,17.256542186332958,-17.256542186332958,3.0,2,0
24,1.0499999999999998,0.0,220.0,2.0,4,0
25,1.0149999999999997,0.0,314.0,1.0,3,0
26,0.9680000000000001,85.65140312116621,-85.65140312116621,4.0,1,0
27,0.9602010802740909,23.650559924414004,-23.650559924414004,2.0,1,0
28,0.9621749955076414,32.83047207351982,-32.83047207351982,2.0,1,0
29,0.9796011547781912,0.0,0.0,3.0,1,0
30,0.9670000000000002,57.34114711225153,-50.34114711225153,3.0,1,0
31,0.9629999999999999,68.34510512897984,-68.34510512897984,5.0,1,0
32,0.9679574529876761,28.520374925716535,-28.520374925716535,2.0,1,0
33,0.9839999999999998,65.67532665443395,-65.67532665443395,4.0,2,0
34,0.9799427713896564,37.827465971468726,-37.827465971468726,2.0,1,0
35,0.98,40.45235526515483,-40.45235526515483,2.0,2,0
36,0.9883161883416915,0.0,0.0,5.0,2,0
37,0.9453041492215817,0.0,0.0,2.0,0,0
38,0.9681312872541898,35.73257346285332,-35.73257346285332,2.0,1,0
39,0.9700000000000001,91.75669270219736,-91.75669270219736,4.0,1,0
40,0.9655022017728015,44.31666147533349,-44.31666147533349,2.0,1,0
41,0.9849999999999999,116.26923953380421,-116.26923953380421,4.0,2,0
42,0.9634420088961951,22.33560138088936,-22.33560138088936,2.0,1,0
43,0.9550596266489202,18.509462523604572,-18.509462523604572,2.0,1,0
44,0.9532735955197075,60.365751934834,-60.365751934834,3.0,1,0
45,1.0049999999999997,34.79592138029784,-15.795921380297841,3.0,3,0
46,1.0036174430380707,39.71447536031902,-39.71447536031902,3.0,3,0
47,1.0186507518604253,26.018883968095064,-26.018883968095064,2.0,3,0
48,1.0250000000000004,107.10966508256783,96.89033491743217,12.0,4,0
49,0.9984824348541245,22.94665879989497,-22.94665879989497,2.0,2,0
50,0.9621550726236981,22.27135202021147,-22.27135202021147,3.0,1,0
51,0.9513807812243767,21.486779863463024,-21.486779863463024,2.0,1,0
52,0.9420765911413758,31.042592629626885,-31.042592629626885,2.0,0,0
53,0.9549999999999998,151.58151171914156,-103.58151171914156,6.0,1,0
54,0.952,76.6233413636703,-76.6233413636703,3.0,1,0
55,0.9540000000000001,99.66586821904215,-99.66586821904215,6.0,1,0
56,0.9682111025027025,15.65698381430991,-15.65698381430991,2.0,1,0
57,0.9559912909773515,13.703108940993516,-13.703108940993516,2.0,1,0
58,0.9850000000000002,321.3123716256815,-166.31237162568152,6.0,2,0
59,0.9928933790953599,85.97227711217354,-85.97227711217354,3.0,2,0
60,0.9949999999999999,0.0,160.0,3.0,2,0
61,0.9979999999999999,102.87795312029938,-102.87795312029938,4.0,2,0
62,0.9657008539429816,0.0,0.0,1.0,1,0
63,0.9812784918257532,0.0,0.0,2.0,2,0
64,1.005,0.0,391.0,2.0,3,0
65,1.0500000000000003,50.67875502212678,341.3212449778732,4.0,4,0
66,1.0181436803233708,36.72338918046122,-36.72338918046122,2.0,3,0
67,0.9962543524598081,0.0,0.0,0.0,2,0
68,1.035,0.0,0.0,5.0,4,0
69,0.9840000000000003,88.05843481423496,-88.05843481423496,5.0,2,0
70,0.9857760188759946,0.0,0.0,3.0,2,0
71,0.9800000000000001,14.852096791938024,-14.852096791938024,2.0,2,0
72,0.9909999999999999,7.623734152715208,-7.623734152715208,1.0,2,0
73,0.9579999999999999,77.6518587618042,-77.6518587618042,2.0,1,0
74,0.9614716270579954,53.31487403685723,-53.31487403685723,5.0,1,0
75,0.9430000000000003,88.43542042052563,-88.43542042052563,2.0,0,0
76,1.006,75.72106057241932,-75.72106057241932,7.0,3,0
77,1.0022878524246293,90.13952906804931,-90.13952906804931,2.0,3,0
78,1.0079611115568814,51.8504866317675,-51.8504866317675,2.0,3,0
79,1.0400000000000005,167.75401448002305,309.24598551997695,7.0,4,0
80,0.9814244700144353,0.0,0.0,0.0,2,0
81,0.9856485259771304,68.36798629065953,-68.36798629065953,3.0,2,0
82,0.9831027548092625,25.35524296447248,-25.35524296447248,3.0,2,0
83,0.9792487528277922,13.103035323606623,-13.103035323606623,2.0,1,0
84,0.9850000000000003,26.621888408889163,-26.621888408889163,5.0,2,0
85,0.9820444236040902,25.851319552163886,-25.851319552163886,1.0,2,0
86,1.0150000000000001,0.0,4.0,0.0,3,0
87,0.9873488136439067,55.89001928860122,-55.89001928860122,2.0,2,0
88,1.005,0.0,607.0,6.0,3,0
89,0.9849999999999999,199.27705067813469,-199.27705067813469,3.0,2,0
90,0.9800000000000003,13.560209219804499,-13.560209219804499,2.0,2,0
91,0.99,76.06181997437415,-76.06181997437415,7.0,2,0
92,0.9852073440677053,13.40988987008064,-13.40988987008064,2.0,2,0
93,0.9888041522786917,35.53245502819797,-35.53245502819797,5.0,2,0
94,0.9782700595675113,49.89928134786022,-49.89928134786022,2.0,1,0
95,0.9904694940872647,49.3458482678866,-49.3458482678866,5.0,2,0
96,1.0090358238831174,19.006644685535754,-19.006644685535754,2.0,3,0
97,1.0197262327174452,45.39576173288541,-45.39576173288541,2.0,3,0
98,1.01,54.57035060812508,-54.57035060812508,2.0,3,0
99,1.0169999999999997,45.21089416198478,206.78910583801522,8.0,3,0
100,0.9902644317645692,29.57253453879583,-29.57253453879583,2.0,2,0
101,0.9886723919934076,5.750459379861557,-5.750459379861557,2.0,2,0
102,1.0099999999999998,25.45671330462364,14.54328669537636,4.0,3,0
103,0.9709999999999999,42.82654561284232,-42.82654561284232,3.0,1,0
104,0.9650000000000002,40.81794196054699,-40.81794196054699,5.0,1,0
105,0.959137128175395,53.2582162702429,-53.2582162702429,3.0,1,0
106,0.9519999999999998,57.41907668550403,-57.41907668550403,2.0,1,0
107,0.9656715590930798,2.500626865062018,-2.500626865062018,2.0,1,0
108,0.9664713348964569,9.165549046511604,-9.165549046511604,2.0,1,0
109,0.973,51.04694838840951,-51.04694838840951,4.0,1,0
110,0.9800000000000002,0.0,36.0,1.0,2,0
111,0.9749999999999996,83.90158802171024,-83.90158802171024,1.0,1,0
112,0.9929999999999998,7.2858382069736685,-7.2858382069736685,2.0,2,0
113,0.9594823476796883,9.523629013954904,-9.523629013954904,2.0,1,0
114,0.959352066338842,28.35986511458466,-28.35986511458466,2.0,1,0
