Conductor Size,Environmental Index,Conductor Ampacity,MVA Rating 69kV,MVA Rating 138kV,MVA Rating 345kV
1/0 ACSR Raven,1,254,30,not used,not used
1/0 ACSR Raven,4,243,29,not used,not used
2/0 ACSR Quail,1,290,34,not used,not used
2/0 ACSR Quail,4,277,33,not used,not used
4/0 ACSR Penguin,1,378,45,90,not used
4/0 ACSR Penguin,4,361,43,86,not used
4/0x2 ACSR Bundled Penguin,1,756,90,180,not used
4/0x2 ACSR Bundled Penguin,4,721,86,172,not used
336 ACSR Linnet,1,569,68,136,not used
336 ACSR Linnet,4,542,64,129,not used
336x2 ACSR Bundled Linnet,1,1137,135,271,not used
336x2 ACSR Bundled Linnet,4,1084,129,259,not used
477 ACSR Hawk,1,710,84,169,not used
477 ACSR Hawk,4,676,80,161,not used
795 ACSR Drake,1,965,117,235,not used
795 ACSR Drake,4,938,112,224,not used
795x2 ACSR Bundled Drake,1,1971,235,471,1177
795x2 ACSR Bundled Drake,4,1877,224,448,1121
795 ACSS/AW Drake,1,1517,181,362,not used
795 ACSS/AW Drake,4,1480,176,353,not used
795x2 ACSS/AW Bundled Drake,1,3034,362,725,1812
795x2 ACSS/AW Bundled Drake,4,2959,353,707,1768
1590 ACSR Falcon,1,1501,179,358,not used
1590 ACSR Falcon,4,1428,170,341,not used
1590x2 ACSR Bundled Falcon,1,3002,358,717,1793
1590x2 ACSR Bundled Falcon,4,2857,341,682,1707
959 ACSS/TW Suwannee,1,1648,196,393,not used
959 ACSS/TW Suwannee,4,1608,192,384,not used
959x2 ACSS/TW Bundled Suwannee,1,3296,393,787,1969
959x2 ACSS/TW Bundled Suwannee,4,3215,384,768,1921
1433 ACSS/TW Merrimack,1,2062,246,492,not used
1433 ACSS/TW Merrimack,4,2012,240,480,not used
1433x2 ACSS/TW Bundled Merrimack,1,4125,492,985,2464
1433x2 ACSS/TW Bundled Merrimack,4,4024,480,961,2404
1926 ACSS/TW Cumberland,1,2583,308,617,not used
1926 ACSS/TW Cumberland,4,2520,301,602,not used
1926x2 ACSS/TW Bundled Cumberland,1,5165,617,1234,3086
1926x2 ACSS/TW Bundled Cumberland,4,5040,602,1204,3011
959 ACSS/TW Suwannee New Construction,1,1872,235,471,not used
959 ACSS/TW Suwannee New Construction,4,1834,231,462,not used
959x2 ACSS/TW Bundled Suwannee New Construction,1,3944,471,943,2356
959x2 ACSS/TW Bundled Suwannee New Construction,4,3868,462,925,2311
1433 ACSS/TW Merrimack New Construction,1,2466,295,589,not used
1433 ACSS/TW Merrimack New Construction,4,2420,289,578,not used
1433x2 ACSS/TW Bundled Merrimack New Construction,1,4932,589,1179,2947
1433x2 ACSS/TW Bundled Merrimack New Construction,4,4840,578,1157,2892
1926 ACSS/TW Cumberland New Construction,1,3135,375,749,not used
1926 ACSS/TW Cumberland New Construction,4,3078,368,736,not used
1926x2 ACSS/TW Bundled Cumberland New Construction,1,6270,749,1499,3747
1926x2 ACSS/TW Bundled Cumberland New Construction,4,6156,736,1471,3679
